iter	Passed	Remaining
0	174	174673
1	177	88460
2	179	59775
3	182	45378
4	184	36784
5	186	30972
6	189	26846
7	191	23741
8	193	21308
9	195	19366
10	197	17751
11	199	16407
12	201	15279
13	203	14321
14	205	13476
15	206	12721
16	208	12050
17	210	11466
18	212	10951
19	213	10475
20	215	10055
21	217	9661
22	219	9308
23	220	8965
24	221	8653
25	223	8357
26	224	8081
27	225	7826
28	226	7591
29	228	7373
30	229	7166
31	230	6972
32	231	6790
33	233	6626
34	234	6463
35	235	6319
36	237	6176
37	238	6039
38	239	5907
39	240	5783
40	242	5663
41	243	5553
42	244	5446
43	245	5342
44	247	5246
45	248	5155
46	249	5064
47	251	4978
48	252	4898
49	253	4822
50	255	4745
51	256	4671
52	257	4599
53	258	4530
54	259	4465
55	262	4420
56	264	4369
57	265	4318
58	267	4267
59	269	4222
60	271	4177
61	272	4129
62	275	4090
63	276	4046
64	278	4006
65	280	3963
66	281	3923
67	282	3872
68	284	3836
69	285	3797
70	287	3766
71	289	3729
72	291	3696
73	292	3661
74	294	3631
75	295	3598
76	298	3573
77	299	3543
78	301	3516
79	303	3487
80	305	3462
81	307	3437
82	308	3408
83	310	3382
84	311	3353
85	313	3329
86	314	3299
87	316	3275
88	317	3252
89	319	3229
90	321	3207
91	322	3185
92	324	3162
93	326	3142
94	327	3124
95	329	3103
96	331	3083
97	332	3064
98	334	3044
99	336	3027
100	338	3008
101	338	2984
102	340	2966
103	342	2950
104	344	2932
105	345	2917
106	347	2899
107	349	2884
108	350	2866
109	352	2851
110	354	2836
111	355	2822
112	357	2808
113	359	2792
114	361	2779
115	362	2764
116	364	2750
117	366	2737
118	368	2727
119	371	2727
120	374	2716
121	376	2708
122	378	2696
123	381	2695
124	384	2690
125	386	2683
126	388	2669
127	389	2654
128	391	2640
129	392	2629
130	394	2617
131	396	2606
132	398	2595
133	399	2584
134	401	2572
135	402	2558
136	404	2545
137	404	2529
138	406	2515
139	407	2504
140	409	2492
141	410	2480
142	411	2467
143	413	2455
144	414	2443
145	415	2432
146	417	2419
147	418	2408
148	419	2397
149	421	2386
150	422	2374
151	423	2362
152	424	2350
153	425	2338
154	426	2327
155	428	2315
156	429	2304
157	430	2293
158	431	2282
159	432	2272
160	434	2264
161	435	2254
162	437	2246
163	438	2237
164	440	2227
165	441	2217
166	442	2208
167	443	2198
168	445	2188
169	446	2179
170	447	2170
171	448	2160
172	449	2150
173	450	2140
174	452	2131
175	453	2122
176	454	2114
177	455	2105
178	457	2096
179	458	2086
180	458	2075
181	459	2067
182	461	2058
183	462	2049
184	463	2041
185	464	2032
186	465	2024
187	466	2016
188	467	2007
189	469	2001
190	471	1995
191	472	1987
192	473	1980
193	474	1972
194	475	1964
195	477	1957
196	478	1950
197	479	1942
198	480	1934
199	481	1927
200	483	1920
201	484	1912
202	485	1905
203	486	1898
204	488	1892
205	489	1885
206	490	1878
207	491	1871
208	492	1864
209	494	1858
210	495	1852
211	496	1845
212	497	1839
213	499	1833
214	500	1827
215	501	1821
216	503	1815
217	505	1813
218	507	1808
219	508	1802
220	510	1798
221	512	1795
222	513	1790
223	515	1787
224	517	1783
225	520	1781
226	522	1779
227	524	1776
228	526	1773
229	528	1770
230	530	1766
231	532	1762
232	534	1758
233	536	1755
234	538	1751
235	539	1746
236	541	1743
237	543	1740
238	545	1737
239	547	1732
240	548	1727
241	549	1722
242	551	1717
243	553	1714
244	555	1711
245	556	1706
246	558	1701
247	559	1696
248	561	1692
249	563	1689
250	564	1684
251	566	1681
252	568	1678
253	570	1676
254	572	1672
255	573	1668
256	575	1663
257	576	1659
258	578	1654
259	580	1651
260	581	1646
261	582	1641
262	584	1637
263	585	1633
264	587	1628
265	588	1624
266	590	1620
267	591	1616
268	593	1612
269	594	1608
270	596	1604
271	597	1600
272	599	1597
