iter	Passed	Remaining
0	150	149991
1	153	76471
2	156	52028
3	158	39422
4	160	31955
5	163	27084
6	165	23467
7	167	20719
8	168	18600
9	170	16897
10	172	15479
11	177	14605
12	179	13638
13	181	12778
14	183	12026
15	184	11356
16	186	10766
17	189	10363
18	192	9913
19	193	9476
20	194	9075
21	195	8711
22	197	8376
23	198	8064
24	199	7778
25	212	7949
26	213	7698
27	215	7479
28	218	7317
29	221	7147
30	223	6973
31	224	6800
32	226	6637
33	228	6497
34	234	6462
35	241	6466
36	243	6344
37	249	6318
38	252	6213
39	253	6092
40	255	5966
41	260	5949
42	264	5884
43	268	5833
44	270	5742
45	273	5671
46	275	5582
47	276	5490
48	282	5476
49	284	5399
50	286	5331
51	288	5255
52	290	5192
53	292	5120
54	296	5095
55	299	5045
56	301	4982
57	306	4980
58	309	4931
59	313	4911
60	316	4866
61	318	4822
62	320	4763
63	322	4714
64	330	4759
65	333	4713
66	335	4667
67	337	4627
68	341	4610
69	344	4574
70	346	4529
71	347	4484
72	349	4437
73	350	4390
74	357	4412
75	360	4378
76	362	4342
77	363	4299
78	365	4259
79	368	4235
80	372	4224
81	374	4197
82	376	4159
83	377	4120
84	379	4083
85	389	4144
86	391	4110
87	392	4072
88	394	4034
89	395	3996
90	396	3958
91	397	3922
92	398	3889
93	400	3863
94	405	3861
95	407	3837
96	409	3808
97	410	3777
98	411	3748
99	413	3723
100	415	3701
101	419	3691
102	421	3669
103	422	3642
104	424	3617
105	425	3591
106	427	3567
107	428	3542
108	440	3601
109	442	3580
110	444	3556
111	447	3549
112	451	3540
113	453	3522
114	455	3502
115	456	3477
116	457	3451
117	458	3426
118	466	3450
119	468	3434
120	470	3415
121	471	3391
122	472	3371
123	474	3353
124	477	3343
125	479	3326
126	480	3304
127	482	3285
128	483	3267
129	486	3257
130	493	3273
131	522	3432
132	542	3536
133	548	3544
134	554	3552
135	564	3588
136	567	3577
137	574	3590
138	579	3592
139	584	3591
140	596	3632
141	597	3611
142	606	3635
143	614	3653
144	622	3672
145	625	3656
146	627	3642
147	629	3626
148	631	3606
149	646	3661
150	660	3713
151	662	3696
152	671	3715
153	675	3708
154	678	3696
155	693	3751
156	697	3744
157	751	4006
158	867	4586
159	1094	5745
160	1101	5741
161	1114	5762
162	1185	6088
163	1212	6182
164	1220	6178
165	1225	6158
166	1243	6202
167	1255	6215
168	1267	6233
169	1271	6209
170	1275	6185
171	1284	6184
172	1291	6173
173	1318	6259
174	1329	6268
175	1331	6234
176	1334	6206
177	1347	6222
178	1362	6251
179	1371	6248
180	1376	6229
181	1379	6200
182	1382	6170
183	1405	6233
184	1418	6249
185	1420	6217
186	1427	6207
187	1432	6187
188	1438	6172
189	1453	6194
190	1463	6200
191	1467	6175
192	1469	6144
193	1476	6135
194	1479	6106
195	1482	6083
196	1490	6075
197	1494	6054
198	1498	6031
199	1507	6030
200	1509	6001
201	1511	5971
202	1513	5941
203	1516	5915
204	1519	5891
205	1525	5881
206	1528	5854
207	1532	5833
208	1534	5808
209	1536	5781
210	1538	5753
211	1540	5724
212	1547	5718
213	1586	5828
214	1590	5806
215	1611	5847
216	1618	5839
217	1624	5826
218	1628	5806
219	1642	5824
220	1660	5851
221	1664	5833
222	1667	5811
223	1673	5797
224	1679	5784
225	1683	5766
